"Module Name","Display Name","Description","Driver Type","Start Mode","State","Status","Accept Stop","Accept Pause","Paged Pool(bytes)","Code(bytes)","BSS(bytes)","Link Date","Path","Init(bytes)"
"1394ohci","1394 OHCI Uyumlu Ana Bilgisayar Denetleyicisi","1394 OHCI Uyumlu Ana Bilgisayar Denetleyicisi","Kernel ","Manual","Stopped","OK","FALSE","FALSE","4.096","229.376","0","","C:\WINDOWS\system32\drivers\1394ohci.sys","4.096"
"3ware","3ware","3ware","Kernel ","Manual","Stopped","OK","FALSE","FALSE","0","81.920","0","19.05.2015 01:28:03","C:\WINDOWS\system32\drivers\3ware.sys","4.096"
"ACE-BASE","ACE-BASE","ACE-BASE","Kernel ","Manual","Stopped","OK","FALSE","FALSE","8.192","1.810.432","0","17.05.2024 05:12:48","\??\C:\WINDOWS\system32\drivers\ACE-BASE.sys","12.288"
"ACPI","Microsoft ACPI SÅrÅcÅsÅ","Microsoft ACPI SÅrÅcÅsÅ","Kernel ","Boot","Running","OK","TRUE","FALSE","184.320","466.944","0","","C:\WINDOWS\system32\drivers\ACPI.sys","24.576"
"AcpiAudioCompositorInbox","ACPI Ses Birleütirici SÅrÅcÅsÅ","ACPI Ses Birleütirici SÅrÅcÅsÅ","Kernel ","Manual","Stopped","OK","FALSE","FALSE","45.056","16.384","0","","C:\WINDOWS\system32\DriverStore\FileRepository\acpiaudiocompositor.inf_amd64_047f553a6f70b169\AcpiAudioCompositor.sys","4.096"
"AcpiDev","ACPI Cihazlar iáin sÅrÅcÅ","ACPI Cihazlar iáin sÅrÅcÅ","Kernel ","Manual","Stopped","OK","FALSE","FALSE","8.192","16.384","0","","C:\WINDOWS\system32\drivers\AcpiDev.sys","4.096"
"acpiex","Microsoft ACPIEx Driver","Microsoft ACPIEx Driver","Kernel ","Boot","Running","OK","TRUE","FALSE","49.152","73.728","0","","C:\WINDOWS\system32\Drivers\acpiex.sys","4.096"
"acpipagr","ACPI òülemci Toplayçcç SÅrÅcÅsÅ","ACPI òülemci Toplayçcç SÅrÅcÅsÅ","Kernel ","Manual","Stopped","OK","FALSE","FALSE","4.096","8.192","0","","C:\WINDOWS\system32\DriverStore\FileRepository\acpipagr.inf_amd64_d1093347a27ff89c\acpipagr.sys","4.096"
"AcpiPmi","ACPI GÅá ôláme SÅrÅcÅsÅ","ACPI GÅá ôláme SÅrÅcÅsÅ","Kernel ","Manual","Stopped","OK","FALSE","FALSE","8.192","8.192","0","","C:\WINDOWS\system32\DriverStore\FileRepository\acpipmi.inf_amd64_3ced06eb61dcc792\acpipmi.sys","4.096"
"acpitime","ACPI Uyandçrma Uyarçsç SÅrÅcÅsÅ","ACPI Uyandçrma Uyarçsç SÅrÅcÅsÅ","Kernel ","Manual","Running","OK","TRUE","FALSE","8.192","12.288","0","","C:\WINDOWS\system32\drivers\acpitime.sys","4.096"
"Acx01000","Acx01000","Acx01000","Kernel ","Manual","Stopped","OK","FALSE","FALSE","507.904","139.264","0","","C:\WINDOWS\system32\drivers\Acx01000.sys","4.096"
